SURVEYID,TAXON,FAMILY,SUM(TOTAL)
1003266,Rhacochilus vacca,Embiotocidae,1
1003266,Rhinogobiops nicholsii,Gobiidae,42
1003266,Sebastes mystinus,Sebastidae,11
1003266,Sebastes rastrelliger,Sebastidae,1
1003266,Sebastes serranoides,Sebastidae,9
1003266,Semicossyphus pulcher,Labridae,7
1003267,Caulolatilus princeps,Malacanthidae,2
1003267,Chromis punctipinnis,Pomacentridae,367
1003267,Embiotoca jacksoni,Embiotocidae,11
1003267,Halichoeres semicinctus,Labridae,1
1003267,Hypsypops rubicundus,Pomacentridae,6
1003267,Lythrypnus dalli,Gobiidae,5
1003267,Oxyjulis californica,Labridae,12
1003267,Oxylebius pictus,Hexagrammidae,15
1003267,Paralabrax clathratus,Serranidae,4
1003267,Phanerodon atripes,Embiotocidae,10
1003267,Pleuronichthys coenosus,Pleuronectidae,1
1003267,Rhacochilus vacca,Embiotocidae,9
1003267,Rhinogobiops nicholsii,Gobiidae,31
1003267,Sebastes atrovirens,Sebastidae,2
1003267,Sebastes chrysomelas,Sebastidae,1
1003267,Sebastes mystinus,Sebastidae,5
1003267,Sebastes serriceps,Sebastidae,8
1003267,Semicossyphus pulcher,Labridae,4
1003268,Chromis punctipinnis,Pomacentridae,299
1003268,Embiotoca jacksoni,Embiotocidae,29
1003268,Halichoeres semicinctus,Labridae,8
1003268,Hypsypops rubicundus,Pomacentridae,5
1003268,Oxyjulis californica,Labridae,51
1003268,Oxylebius pictus,Hexagrammidae,23
1003268,Paralabrax clathratus,Serranidae,6
1003268,Phanerodon atripes,Embiotocidae,1
1003268,Rhacochilus vacca,Embiotocidae,7
1003268,Rhinogobiops nicholsii,Gobiidae,14
1003268,Sebastes mystinus,Sebastidae,5
1003268,Semicossyphus pulcher,Labridae,12
1003269,Alloclinus holderi,Labrisomidae,1
1003269,Chromis punctipinnis,Pomacentridae,150
1003269,Embiotoca jacksoni,Embiotocidae,21
1003269,Girella nigricans,Kyphosidae,2
1003269,Hypsypops rubicundus,Pomacentridae,3
1003269,Lythrypnus dalli,Gobiidae,1
1003269,Oxyjulis californica,Labridae,13
1003269,Oxylebius pictus,Hexagrammidae,11
1003269,Paralabrax clathratus,Serranidae,6
1003269,Rhacochilus toxotes,Embiotocidae,1
1003269,Rhacochilus vacca,Embiotocidae,6
1003269,Rhinogobiops nicholsii,Gobiidae,39
1003269,Sebastes atrovirens,Sebastidae,3
1003269,Sebastes auriculatus,Sebastidae,1
1003269,Sebastes mystinus,Sebastidae,4
1003269,Semicossyphus pulcher,Labridae,4
1003270,Embiotoca jacksoni,Embiotocidae,3
1003270,Embiotoca lateralis,Embiotocidae,3
1003270,Hexagrammos decagrammus,Hexagrammidae,1
1003270,Oxylebius pictus,Hexagrammidae,4
1003270,Rhacochilus vacca,Embiotocidae,2
1003270,Scorpaenichthys marmoratus,Cottidae,1
1003270,Sebastes atrovirens,Sebastidae,9
1003270,Sebastes chrysomelas,Sebastidae,5
1003270,Sebastes flavidus,Sebastidae,4
1003270,Sebastes mystinus,Sebastidae,20
1003271,Chromis punctipinnis,Pomacentridae,25
1003271,Embiotoca jacksoni,Embiotocidae,3
1003271,Embiotoca lateralis,Embiotocidae,7
1003271,Girella nigricans,Kyphosidae,8
1003271,Hypsurus caryi,Embiotocidae,2
1003271,Ophiodon elongatus,Hexagrammidae,1
1003271,Oxylebius pictus,Hexagrammidae,15
1003271,Rhacochilus toxotes,Embiotocidae,3
1003271,Rhacochilus vacca,Embiotocidae,2
1003271,Sebastes atrovirens,Sebastidae,2
1003271,Sebastes caurinus,Sebastidae,3
1003271,Sebastes chrysomelas,Sebastidae,16
1003271,Sebastes flavidus,Sebastidae,23
1003271,Sebastes mystinus,Sebastidae,115
1003271,Sebastes serranoides,Sebastidae,14
1003272,Anarrhichthys ocellatus,Anarhichadidae,1
1003272,Brachyistius frenatus,Embiotocidae,5
1003272,Embiotoca lateralis,Embiotocidae,4
1003272,Hexagrammos decagrammus,Hexagrammidae,28
1003272,Ophiodon elongatus,Hexagrammidae,10
1003272,Oxylebius pictus,Hexagrammidae,2
1003272,Rhacochilus vacca,Embiotocidae,94
1003272,Rhinogobiops nicholsii,Gobiidae,12
1003272,Sebastes caurinus,Sebastidae,31
1003272,Sebastes maliger,Sebastidae,1
1003273,Citharichthys stigmaeus,Paralichthyidae,1
1003273,Embiotoca lateralis,Embiotocidae,65
1003273,Hexagrammos decagrammus,Hexagrammidae,16
1003273,Oxylebius pictus,Hexagrammidae,1
1003273,Rhacochilus vacca,Embiotocidae,82
1003273,Rhinogobiops nicholsii,Gobiidae,6
1003273,Sebastes caurinus,Sebastidae,7
1003274,Aulorhynchus flavidus,Aulorhynchidae,5
1003274,Embiotoca lateralis,Embiotocidae,17
1003274,Hexagrammos decagrammus,Hexagrammidae,27
1003274,Ophiodon elongatus,Hexagrammidae,4
1003274,Rhinogobiops nicholsii,Gobiidae,9
1003274,Sebastes caurinus,Sebastidae,3
1003274,Sebastes spp.,Sebastidae,1
1003275,Embiotoca lateralis,Embiotocidae,4
1003275,Hexagrammos decagrammus,Hexagrammidae,29
1003275,Rhinogobiops nicholsii,Gobiidae,5
1003275,Sebastes caurinus,Sebastidae,121
1003275,Sebastes maliger,Sebastidae,10
1003276,Brachyistius frenatus,Embiotocidae,12
1003276,Embiotoca lateralis,Embiotocidae,8
1003276,Hexagrammos decagrammus,Hexagrammidae,3
1003276,Ophiodon elongatus,Hexagrammidae,1
1003276,Rhacochilus vacca,Embiotocidae,14
1003276,Rhinogobiops nicholsii,Gobiidae,40
1003276,Sebastes caurinus,Sebastidae,11
1003277,Citharichthys stigmaeus,Paralichthyidae,16
1003277,Hexagrammos stelleri,Hexagrammidae,2
1003277,Rhinogobiops nicholsii,Gobiidae,5
1003277,Sebastes auriculatus,Sebastidae,3
1003278,Abudefduf saxatilis,Pomacentridae,14
1003278,Acanthurus bahianus,Acanthuridae,3
1003278,Acanthurus coeruleus,Acanthuridae,15
1003278,Anisotremus virginicus,Haemulidae,1
1003278,Bodianus rufus,Labridae,2
1003278,Canthigaster rostrata,Tetraodontidae,2
1003278,Cephalopholis cruentata,Serranidae,2
1003278,Chaetodon capistratus,Chaetodontidae,10
1003278,Chaetodon ocellatus,Chaetodontidae,19
1003278,Chromis cyanea,Pomacentridae,3
1003278,Chromis scotti,Pomacentridae,2
1003278,Haemulon aurolineatum,Haemulidae,2
1003278,Haemulon carbonarium,Haemulidae,19
1003278,Haemulon flavolineatum,Haemulidae,890
1003278,Haemulon macrostomum,Haemulidae,7
1003278,Haemulon sciurus,Haemulidae,85
1003278,Halichoeres garnoti,Labridae,4
1003278,Halichoeres maculipinna,Labridae,5
1003278,Holacanthus tricolor,Pomacanthidae,1
1003278,Holocentrus adscensionis,Holocentridae,9
1003278,Holocentrus rufus,Holocentridae,4
1003278,Lactophrys bicaudalis,Ostraciidae,1
1003278,Lutjanus apodus,Lutjanidae,34
1003278,Lutjanus griseus,Lutjanidae,5
1003278,Lutjanus mahogoni,Lutjanidae,3
1003278,Microspathodon chrysurus,Pomacentridae,24
1003278,Ophioblennius atlanticus,Blenniidae,1
1003278,Pomacanthus arcuatus,Pomacanthidae,1
1003278,Scarus guacamaia,Scaridae,2
1003278,Scarus iseri,Scaridae,30
1003278,Scarus taeniopterus,Scaridae,18
1003278,Sparisoma aurofrenatum,Scaridae,7
1003278,Sparisoma rubripinne,Scaridae,3
1003278,Sparisoma viride,Scaridae,29
1003278,Stegastes diencaeus,Pomacentridae,14
1003278,Stegastes leucostictus,Pomacentridae,2
1003278,Stegastes partitus,Pomacentridae,98
1003278,Stegastes variabilis,Pomacentridae,1
1003278,Thalassoma bifasciatum,Labridae,253
1003280,Abudefduf saxatilis,Pomacentridae,350
1003280,Acanthurus bahianus,Acanthuridae,49
1003280,Acanthurus chirurgus,Acanthuridae,23
1003280,Acanthurus coeruleus,Acanthuridae,48
1003280,Anisotremus virginicus,Haemulidae,12
1003280,Bodianus rufus,Labridae,48
1003280,Canthigaster rostrata,Tetraodontidae,8
1003280,Chaetodon capistratus,Chaetodontidae,75
1003280,Chaetodon striatus,Chaetodontidae,16
1003280,Chromis cyanea,Pomacentridae,120
1003280,Chromis multilineata,Pomacentridae,490
1003280,Haemulon aurolineatum,Haemulidae,101
1003280,Haemulon carbonarium,Haemulidae,300
1003280,Haemulon chrysargyreum,Haemulidae,180
1003280,Haemulon flavolineatum,Haemulidae,280
1003280,Haemulon macrostomum,Haemulidae,3
1003280,Haemulon sciurus,Haemulidae,170
1003280,Halichoeres radiatus,Labridae,35
1003280,Holocentrus adscensionis,Holocentridae,10
1003280,Lutjanus apodus,Lutjanidae,160
1003280,Microspathodon chrysurus,Pomacentridae,91
1003280,Mulloidichthys martinicus,Mullidae,200
1003280,Mycteroperca bonaci,Serranidae,1
1003280,Pomacanthus arcuatus,Pomacanthidae,10
1003280,Scarus coeruleus,Scaridae,18
1003280,Scarus guacamaia,Scaridae,13
1003280,Scarus taeniopterus,Scaridae,70
1003280,Scarus vetula,Scaridae,13
1003280,Serranus tigrinus,Serranidae,8
1003280,Sparisoma aurofrenatum,Scaridae,51
1003280,Sparisoma rubripinne,Scaridae,14
1003280,Sparisoma viride,Scaridae,136
1003280,Stegastes diencaeus,Pomacentridae,13
1003280,Stegastes partitus,Pomacentridae,190
1003280,Thalassoma bifasciatum,Labridae,710
1003281,Abudefduf saxatilis,Pomacentridae,15
1003281,Acanthurus bahianus,Acanthuridae,10
1003281,Acanthurus chirurgus,Acanthuridae,19
1003281,Acanthurus coeruleus,Acanthuridae,3
1003281,Anisotremus virginicus,Haemulidae,9
1003281,Carangoides ruber,Carangidae,1
1003281,Chaetodon capistratus,Chaetodontidae,1
1003281,Chaetodon ocellatus,Chaetodontidae,6
1003281,Chaetodon sedentarius,Chaetodontidae,2
1003281,Diodon holocanthus,Diodontidae,1
1003281,Gymnothorax funebris,Muraenidae,1
1003281,Haemulon aurolineatum,Haemulidae,26
1003281,Haemulon plumierii,Haemulidae,80
1003281,Haemulon sciurus,Haemulidae,74
1003281,Halichoeres bivittatus,Labridae,91
1003281,Halichoeres radiatus,Labridae,2
1003281,Lachnolaimus maximus,Labridae,2
1003281,Lutjanus apodus,Lutjanidae,35
1003281,Lutjanus griseus,Lutjanidae,58
1003281,Ocyurus chrysurus,Lutjanidae,2
1003281,Pareques acuminatus,Sciaenidae,1
1003281,Pomacanthus arcuatus,Pomacanthidae,2
1003281,Scarus iseri,Scaridae,92
1003281,Sparisoma aurofrenatum,Scaridae,40
1003281,Sparisoma viride,Scaridae,23
1003281,Sphyraena barracuda,Sphyraenidae,1
1003281,Stegastes fuscus,Pomacentridae,26
1003281,Stegastes planifrons,Pomacentridae,1
1003281,Stegastes variabilis,Pomacentridae,220
1003282,Abudefduf saxatilis,Pomacentridae,4
1003282,Acanthurus chirurgus,Acanthuridae,1
1003282,Acanthurus coeruleus,Acanthuridae,20
1003282,Anisotremus virginicus,Haemulidae,6
1003282,Canthigaster rostrata,Tetraodontidae,5
1003282,Cephalopholis cruentata,Serranidae,1
1003282,Chaetodon capistratus,Chaetodontidae,11
1003282,Chaetodon ocellatus,Chaetodontidae,6
1003282,Coryphopterus glaucofraenum,Gobiidae,24
1003282,Elacatinus oceanops,Gobiidae,3
1003282,Epinephelus morio,Serranidae,1
1003282,Haemulon aurolineatum,Haemulidae,130
1003282,Haemulon flavolineatum,Haemulidae,62
1003282,Haemulon plumierii,Haemulidae,34
1003282,Haemulon sciurus,Haemulidae,38
1003282,Halichoeres garnoti,Labridae,14
1003282,Halichoeres maculipinna,Labridae,45
1003282,Halichoeres radiatus,Labridae,1
1003282,Holacanthus ciliaris,Pomacanthidae,2
1003282,Lutjanus griseus,Lutjanidae,5
1003282,Malacoctenus triangulatus,Labrisomidae,1
1003282,Microspathodon chrysurus,Pomacentridae,1
1003282,Mycteroperca bonaci,Serranidae,1
1003282,Scarus iseri,Scaridae,142
1003282,Sparisoma aurofrenatum,Scaridae,70
1003282,Sparisoma viride,Scaridae,20
1003282,Stegastes planifrons,Pomacentridae,3
1003282,Stegastes variabilis,Pomacentridae,76
1003282,Thalassoma bifasciatum,Labridae,3
1003283,Abudefduf saxatilis,Pomacentridae,35
1003283,Acanthurus chirurgus,Acanthuridae,1
1003283,Acanthurus coeruleus,Acanthuridae,15
1003283,Canthigaster rostrata,Tetraodontidae,5
1003283,Carangoides bartholomaei,Carangidae,3
1003283,Carangoides ruber,Carangidae,39
1003283,Chaetodon capistratus,Chaetodontidae,8
1003283,Chaetodon ocellatus,Chaetodontidae,1
1003283,Coryphopterus hyalinus,Gobiidae,1
1003283,Haemulon chrysargyreum,Haemulidae,65
1003283,Haemulon flavolineatum,Haemulidae,150
1003283,Haemulon macrostomum,Haemulidae,17
1003283,Haemulon plumierii,Haemulidae,40
1003283,Haemulon sciurus,Haemulidae,520
1003283,Halichoeres bivittatus,Labridae,1
1003283,Halichoeres radiatus,Labridae,1
1003283,Lachnolaimus maximus,Labridae,1
1003283,Lutjanus apodus,Lutjanidae,5
1003283,Lutjanus griseus,Lutjanidae,34
1003283,Lutjanus synagris,Lutjanidae,101
1003283,Microspathodon chrysurus,Pomacentridae,4
1003283,Mycteroperca bonaci,Serranidae,1
1003283,Pomacanthus arcuatus,Pomacanthidae,2
1003283,Scarus iseri,Scaridae,18
1003283,Serranus tigrinus,Serranidae,1
1003283,Sparisoma aurofrenatum,Scaridae,30
1003283,Sparisoma rubripinne,Scaridae,1
1003283,Sparisoma viride,Scaridae,17
1003283,Stegastes diencaeus,Pomacentridae,1
1003283,Stegastes partitus,Pomacentridae,155
1003283,Stegastes planifrons,Pomacentridae,2
1003283,Stegastes variabilis,Pomacentridae,14
1003283,Thalassoma bifasciatum,Labridae,174
1003284,Abudefduf saxatilis,Pomacentridae,63
1003284,Acanthostracion quadricornis,Ostraciidae,1
1003284,Acanthurus bahianus,Acanthuridae,18
1003284,Acanthurus chirurgus,Acanthuridae,10
1003284,Acanthurus coeruleus,Acanthuridae,23
1003284,Bodianus rufus,Labridae,2
1003284,Canthigaster rostrata,Tetraodontidae,7
1003284,Carangoides ruber,Carangidae,30
1003284,Chaetodon capistratus,Chaetodontidae,2
1003284,Chaetodon ocellatus,Chaetodontidae,15
1003284,Coryphopterus glaucofraenum,Gobiidae,4
1003284,Diodon holocanthus,Diodontidae,1
1003284,Elacatinus oceanops,Gobiidae,9
1003284,Epinephelus striatus,Serranidae,1
1003284,Haemulon flavolineatum,Haemulidae,145
1003284,Haemulon macrostomum,Haemulidae,12
1003284,Haemulon plumierii,Haemulidae,50
1003284,Haemulon sciurus,Haemulidae,143
1003284,Halichoeres bivittatus,Labridae,5
1003284,Halichoeres garnoti,Labridae,1
1003284,Halichoeres radiatus,Labridae,4
1003284,Kyphosus incisor,Kyphosidae,4
1003284,Kyphosus sectatrix,Kyphosidae,2
1003284,Lachnolaimus maximus,Labridae,2
1003284,Microspathodon chrysurus,Pomacentridae,6
1003284,Mycteroperca bonaci,Serranidae,1
1003284,Ocyurus chrysurus,Lutjanidae,95
1003284,Pomacanthus arcuatus,Pomacanthidae,3
1003284,Scarus guacamaia,Scaridae,1
1003284,Serranus tigrinus,Serranidae,4
1003284,Sparisoma aurofrenatum,Scaridae,24
1003284,Sparisoma viride,Scaridae,32
1003284,Stegastes leucostictus,Pomacentridae,18
1003284,Stegastes partitus,Pomacentridae,185
1003284,Stegastes variabilis,Pomacentridae,20
1003284,Thalassoma bifasciatum,Labridae,300
1003285,Abudefduf saxatilis,Pomacentridae,1
1003285,Acanthurus bahianus,Acanthuridae,9
1003285,Aulostomus maculatus,Aulostomidae,1
1003285,Bodianus rufus,Labridae,9
1003285,Canthigaster rostrata,Tetraodontidae,14
1003285,Carangoides ruber,Carangidae,14
1003285,Cephalopholis cruentata,Serranidae,7
1003285,Chaetodon capistratus,Chaetodontidae,11
1003285,Chaetodon ocellatus,Chaetodontidae,6
1003285,Chromis cyanea,Pomacentridae,98
1003285,Chromis insolata,Pomacentridae,23
1003285,Chromis multilineata,Pomacentridae,28
1003285,Chromis scotti,Pomacentridae,5
1003285,Coryphopterus glaucofraenum,Gobiidae,3
1003285,Coryphopterus hyalinus,Gobiidae,336
1003285,Halichoeres garnoti,Labridae,55
1003285,Holacanthus bermudensis,Pomacanthidae,1
1003285,Holacanthus tricolor,Pomacanthidae,9
1003285,Hypoplectrus unicolor,Serranidae,10
1003285,Kyphosus incisor,Kyphosidae,4
1003285,Lachnolaimus maximus,Labridae,3
1003285,Lutjanus apodus,Lutjanidae,5
1003285,Microspathodon chrysurus,Pomacentridae,30
1003285,Ocyurus chrysurus,Lutjanidae,16
1003285,Pareques acuminatus,Sciaenidae,1
1003285,Pseudupeneus maculatus,Mullidae,2
1003285,Rhinesomus triqueter,Ostraciidae,1
1003285,Scarus coelestinus,Scaridae,40
1003285,Scarus iseri,Scaridae,70
1003285,Scarus taeniopterus,Scaridae,11
1003285,Scarus vetula,Scaridae,2
1003285,Sparisoma aurofrenatum,Scaridae,48
1003285,Sparisoma viride,Scaridae,4
1003285,Stegastes diencaeus,Pomacentridae,3
1003285,Stegastes partitus,Pomacentridae,165
1003285,Stegastes variabilis,Pomacentridae,21
1003285,Thalassoma bifasciatum,Labridae,179
1003286,Abudefduf saxatilis,Pomacentridae,4
1003286,Acanthurus bahianus,Acanthuridae,33
1003286,Acanthurus coeruleus,Acanthuridae,36
1003286,Anisotremus virginicus,Haemulidae,1
1003286,Canthigaster rostrata,Tetraodontidae,1
1003286,Carangoides ruber,Carangidae,2
1003286,Cephalopholis cruentata,Serranidae,4
1003286,Chaetodon capistratus,Chaetodontidae,2
1003286,Chaetodon striatus,Chaetodontidae,5
1003286,Chromis cyanea,Pomacentridae,29
1003286,Chromis multilineata,Pomacentridae,84
1003286,Coryphopterus glaucofraenum,Gobiidae,1
1003286,Coryphopterus hyalinus,Gobiidae,184
1003286,Haemulon flavolineatum,Haemulidae,12
1003286,Haemulon macrostomum,Haemulidae,28
1003286,Haemulon parra,Haemulidae,1
1003286,Halichoeres garnoti,Labridae,59
1003286,Halichoeres maculipinna,Labridae,43
1003286,Halichoeres radiatus,Labridae,2
1003286,Holacanthus ciliaris,Pomacanthidae,1
1003286,Holacanthus tricolor,Pomacanthidae,3
1003286,Holocentrus adscensionis,Holocentridae,4
1003286,Hypoplectrus unicolor,Serranidae,1
1003286,Lutjanus griseus,Lutjanidae,21
1003286,Lutjanus mahogoni,Lutjanidae,5
1003286,Microspathodon chrysurus,Pomacentridae,24
1003286,Mulloidichthys martinicus,Mullidae,3
1003286,Ocyurus chrysurus,Lutjanidae,26
1003286,Pomacanthus paru,Pomacanthidae,2
1003286,Scarus coeruleus,Scaridae,1
1003286,Scarus guacamaia,Scaridae,1
1003286,Scarus iseri,Scaridae,57
1003286,Scarus vetula,Scaridae,7
1003286,Sparisoma aurofrenatum,Scaridae,63
1003286,Sparisoma rubripinne,Scaridae,4
1003286,Sparisoma viride,Scaridae,23
1003286,Sphyraena barracuda,Sphyraenidae,1
1003286,Stegastes diencaeus,Pomacentridae,15
1003286,Stegastes fuscus,Pomacentridae,18
1003286,Stegastes leucostictus,Pomacentridae,3
1003286,Stegastes partitus,Pomacentridae,268
1003286,Stegastes planifrons,Pomacentridae,3
1003286,Thalassoma bifasciatum,Labridae,241
1003287,Abudefduf saxatilis,Pomacentridae,9
1003287,Acanthurus bahianus,Acanthuridae,19
1003287,Acanthurus chirurgus,Acanthuridae,1
1003287,Acanthurus coeruleus,Acanthuridae,23
1003287,Bodianus rufus,Labridae,3
1003287,Calamus calamus,Sparidae,6
1003287,Canthigaster rostrata,Tetraodontidae,4
1003287,Cephalopholis cruentata,Serranidae,1
1003287,Chaetodon capistratus,Chaetodontidae,4
1003287,Chaetodon ocellatus,Chaetodontidae,3
1003287,Chaetodon striatus,Chaetodontidae,3
1003287,Chromis cyanea,Pomacentridae,35
1003287,Chromis multilineata,Pomacentridae,20
1003287,Dasyatis americana,Dasyatidae,1
1003287,Epinephelus adscensionis,Serranidae,1
1003287,Haemulon flavolineatum,Haemulidae,12
1003287,Haemulon plumierii,Haemulidae,6
1003287,Haemulon sciurus,Haemulidae,9
1003287,Halichoeres garnoti,Labridae,32
1003287,Halichoeres maculipinna,Labridae,32
1003287,Holacanthus tricolor,Pomacanthidae,3
1003287,Hypoplectrus unicolor,Serranidae,15
1003287,Lutjanus analis,Lutjanidae,24
1003287,Lutjanus apodus,Lutjanidae,6
1003287,Ocyurus chrysurus,Lutjanidae,22
1003287,Scarus iseri,Scaridae,29
1003287,Serranus tigrinus,Serranidae,4
1003287,Sparisoma aurofrenatum,Scaridae,35
1003287,Sparisoma rubripinne,Scaridae,1
1003287,Sparisoma viride,Scaridae,13
1003287,Sphyraena barracuda,Sphyraenidae,1
1003287,Stegastes fuscus,Pomacentridae,8
1003287,Stegastes leucostictus,Pomacentridae,1
1003287,Stegastes partitus,Pomacentridae,219
1003287,Stegastes variabilis,Pomacentridae,1
1003287,Thalassoma bifasciatum,Labridae,209
1003288,Abudefduf saxatilis,Pomacentridae,38
1003288,Acanthurus bahianus,Acanthuridae,51
1003288,Acanthurus chirurgus,Acanthuridae,2
1003288,Acanthurus coeruleus,Acanthuridae,81
1003288,Anisotremus virginicus,Haemulidae,6
1003288,Bodianus rufus,Labridae,3
1003288,Canthigaster rostrata,Tetraodontidae,8
1003288,Carangoides ruber,Carangidae,3
1003288,Cephalopholis cruentata,Serranidae,3
1003288,Chaetodipterus faber,Ephippidae,14
1003288,Chaetodon capistratus,Chaetodontidae,10
1003288,Chaetodon ocellatus,Chaetodontidae,4
1003288,Diodon holocanthus,Diodontidae,1
1003288,Elacatinus oceanops,Gobiidae,3
