SITECODE,SITE,SITELAT,SITELONG,COUNTRY,ECOREGION,SURVEYDATE,SURVEYID,DEPTH,WATER TEMPERATURE.F,pH,SALINITY (parts per 1000)
ETP80,Frijol,7.6501667,-81.71845,Panama,Nicoya,3/21/2007,507003530,4,84,7.8,35.6
ETP151,Canal Afuera SE,7.687133333,-81.61163333,Panama,Nicoya,3/21/2007,507003532,6,73,7.8,36.1
ETP144,Brincanco SO,7.85345,-81.8025,Panama,Nicoya,3/21/2007,507003536,8,78,7.8,35.3
ETP80,Frijol,7.6501667,-81.71845,Panama,Nicoya,3/21/2007,507003537,11,83,7.9,34.2
ETP144,Brincanco SO,7.85345,-81.8025,Panama,Nicoya,3/21/2007,507003539,15,79,8.1,34.5
ETP151,Canal Afuera SE,7.687133333,-81.61163333,Panama,Nicoya,3/21/2007,507003541,16,74,7.8,36
ETP70,Brincanco,7.84978,-81.78748,Panama,Nicoya,3/22/2007,507003546,6,76,8.1,35.6
ETP238,Secas E,7.94755,-82.02231667,Panama,Nicoya,3/22/2007,507003548,7,81,8.1,36.2
ETP238,Secas E,7.94755,-82.02231667,Panama,Nicoya,3/22/2007,507003552,14,80,8.2,34.1
ETP70,Brincanco,7.84978,-81.78748,Panama,Nicoya,3/22/2007,507003555,16,81,7.8,36.4
ETP239,Secas SE,7.9521,-82.03661667,Panama,Nicoya,3/23/2007,507003556,5,75,8.2,35.8
ETP75,Urita Arriba,7.8192833,-81.738783,Panama,Nicoya,3/23/2007,507003557,5,84,8.2,34.1
ETP69,Bajo Urraca,7.8391,-81.79657,Panama,Nicoya,3/23/2007,507003560,6,79,8.2,34.6
ETP239,Secas SE,7.9521,-82.03661667,Panama,Nicoya,3/23/2007,507003562,7,82,7.9,34.7
ETP75,Urita Arriba,7.8192833,-81.738783,Panama,Nicoya,3/23/2007,507003567,14,80,8.2,35.2
ETP69,Bajo Urraca,7.8391,-81.79657,Panama,Nicoya,3/23/2007,507003569,15,83,7.9,37
ETP169,Hill Rocks,7.2852,-81.67301667,Panama,Nicoya,3/24/2007,507003573,7,73,7.8,34.5
ETP242,Uvita Abajo,7.802416667,-81.74603333,Panama,Nicoya,3/24/2007,507003574,8,83,8.1,34.9
ETP78,Roca Prosper,7.7762,-81.760017,Panama,Nicoya,3/24/2007,507003575,8,77,7.8,34.9
ETP169,Hill Rocks,7.2852,-81.67301667,Panama,Nicoya,3/24/2007,507003577,12,76,7.9,34.2
ETP242,Uvita Abajo,7.802416667,-81.74603333,Panama,Nicoya,3/24/2007,507003580,15,73,8,35.7
ETP78,Roca Prosper,7.7762,-81.760017,Panama,Nicoya,3/24/2007,507003581,15,75,7.9,35.1
ETP91,Jicarita E,7.21305,-81.79862,Panama,Nicoya,3/25/2007,507003582,3,78,7.9,36.2
ETP91,Jicarita E,7.21305,-81.79862,Panama,Nicoya,3/25/2007,507003584,5,76,8.1,35.7
ETP142,Barco Quebrado,7.31805,-81.67278333,Panama,Nicoya,3/25/2007,507003585,6,82,8.2,36.7
ETP93,Jicarita Sur,7.20322,-81.79869,Panama,Nicoya,3/25/2007,507003586,6,74,7.9,35.7
ETP195,Pasage Rock,7.316383333,-81.71111667,Panama,Nicoya,3/25/2007,507003587,7,78,8,36.4
ETP88,Piedra Hacha,7.4325167,-81.8579,Panama,Nicoya,3/25/2007,507003589,8,73,8,34
ETP142,Barco Quebrado,7.31805,-81.67278333,Panama,Nicoya,3/25/2007,507003590,14,74,7.9,35.4
ETP195,Pasage Rock,7.316383333,-81.71111667,Panama,Nicoya,3/25/2007,507003591,14,79,8.2,36.8
ETP88,Piedra Hacha,7.4325167,-81.8579,Panama,Nicoya,3/25/2007,507003592,14,77,7.8,35.4
ETP93,Jicarita Sur,7.20322,-81.79869,Panama,Nicoya,3/25/2007,507003593,15,79,7.8,36.4
ETP187,Montuosa Norte,7.477833333,-82.2433,Panama,Nicoya,3/26/2007,507003594,6,80,7.9,36.5
ETP223,Punta Piedra Hueca,7.4054,-81.81823333,Panama,Nicoya,3/26/2007,507003595,7,82,8.1,36.2
ETP141,Bajo Telesto,7.51805,-81.89558333,Panama,Nicoya,3/26/2007,507003596,8,80,8.2,34.8
ETP177,Jicaron Oeste,7.25765,-81.82391667,Panama,Nicoya,3/26/2007,507003597,8,76,7.9,34.5
ETP187,Montuosa Norte,7.477833333,-82.2433,Panama,Nicoya,3/26/2007,507003598,8,83,8.2,34.5
ETP188,Montuosa Sureste,7.462416667,-82.23206667,Panama,Nicoya,3/26/2007,507003599,8,81,8.2,35.3
ETP223,Punta Piedra Hueca,7.4054,-81.81823333,Panama,Nicoya,3/26/2007,507003600,11,81,7.9,34.5
ETP188,Montuosa Sureste,7.462416667,-82.23206667,Panama,Nicoya,3/26/2007,507003601,13,78,8,36.4
ETP141,Bajo Telesto,7.51805,-81.89558333,Panama,Nicoya,3/26/2007,507003602,16,79,7.8,36.8
ETP177,Jicaron Oeste,7.25765,-81.82391667,Panama,Nicoya,3/26/2007,507003603,16,77,8,36.4
ETP212,Punta Hermosa Norte,7.54435,-81.85898333,Panama,Nicoya,3/27/2007,507003607,6,75,8,34.5
ETP86,Islote Santa Cruz,7.6311333,-81.7822,Panama,Nicoya,3/27/2007,507003608,6,76,7.8,34.1
ETP140,Bajo Montuosa Oeste,7.47135,-82.2659,Panama,Nicoya,3/27/2007,507003609,7,84,8,35.6
ETP200,Punta Adelarda,7.487566667,-81.88863333,Panama,Nicoya,3/27/2007,507003610,7,77,7.8,36.4
ETP212,Punta Hermosa Norte,7.54435,-81.85898333,Panama,Nicoya,3/27/2007,507003611,11,73,8.2,35
ETP86,Islote Santa Cruz,7.6311333,-81.7822,Panama,Nicoya,3/27/2007,507003612,12,84,7.9,36.2
ETP200,Punta Adelarda,7.487566667,-81.88863333,Panama,Nicoya,3/27/2007,507003613,15,79,8.1,35.1
ETP140,Bajo Montuosa Oeste,7.47135,-82.2659,Panama,Nicoya,3/27/2007,507003614,16,83,7.9,34.3
ETP206,Punta Damas,7.516716667,-81.67083333,Panama,Nicoya,3/28/2007,507003615,3,82,8.1,36.2
ETP211,Punta Felipa,7.421816667,-81.69548333,Panama,Nicoya,3/28/2007,507003616,3,82,8.2,34.4
ETP206,Punta Damas,7.516716667,-81.67083333,Panama,Nicoya,3/28/2007,507003617,3.4,84,7.9,34.4
ETP211,Punta Felipa,7.421816667,-81.69548333,Panama,Nicoya,3/28/2007,507003618,4,84,7.8,36.8
ETP173,Islote Coco Norte,7.623616667,-81.71166667,Panama,Nicoya,3/28/2007,507003619,6,83,8,35.8
ETP173,Islote Coco Norte,7.623616667,-81.71166667,Panama,Nicoya,3/28/2007,507003621,9,82,7.9,35.8
DE19,Sloping Island,-42.950922,147.636528,Australia,Bassian,1/7/2008,7000596,6,74,7.8,36.7
TAS59,Hellfire Bluff,-42.74185,147.91716,Australia,Bassian,1/7/2008,7000599,9,82,8,37
TAS59,Hellfire Bluff,-42.74185,147.91716,Australia,Bassian,1/7/2008,7000600,10,74,7.9,34.1
TAS60,Green Bluff,-42.73045,148.01097,Australia,Bassian,1/7/2008,7000601,5,81,8,37
TAS60,Green Bluff,-42.73045,148.01097,Australia,Bassian,1/7/2008,7000602,11,76,8,34.3
TAS55,Slopen I,-42.941883,147.642489,Australia,Bassian,1/7/2008,7000617,6,77,7.9,36.1
TAS61,Haunted Cove,-42.72022,148.06913,Australia,Bassian,1/8/2008,7000604,18,79,8.1,35.5
TAS61,Haunted Cove,-42.72022,148.06913,Australia,Bassian,1/8/2008,7000605,22.4,77,7.8,36.5
TAS62,Whalers cove (>10),-42.66358,148.11369,Australia,Bassian,1/8/2008,7000606,14,73,8.1,36.3
TAS63,Painted Cliffs,-42.59214,148.05072,Australia,Bassian,1/9/2008,7000597,3,77,8.1,35.2
TAS63,Painted Cliffs,-42.59214,148.05072,Australia,Bassian,1/9/2008,7000598,5,73,7.8,37
TAS64,Magistrates Point offshore,-42.58794,148.050705,Australia,Bassian,1/9/2008,7000607,5,80,8.2,34.9
TAS64,Magistrates Point offshore,-42.58794,148.050705,Australia,Bassian,1/9/2008,7000608,7,76,8,36.7
TAS70,Kohinorr Rock,-40.08227,147.76598,Australia,Cape Howe,1/28/2008,7000565,5,79,8,35.9
TAS70,Kohinorr Rock,-40.08227,147.76598,Australia,Cape Howe,1/28/2008,7000566,5.1,80,7.8,35.2
TAS69,SE Prime Seal,-40.09146,147.75906,Australia,Cape Howe,1/28/2008,7000568,5,76,7.8,36.8
TAS69,SE Prime Seal,-40.09146,147.75906,Australia,Cape Howe,1/28/2008,7000569,6,80,8.2,34.9
TAS74,Wybalenna Is,-40.02387,147.84676,Australia,Cape Howe,1/29/2008,7000570,6,84,7.8,35.3
TAS74,Wybalenna Is,-40.02387,147.84676,Australia,Cape Howe,1/29/2008,7000571,8,73,8.1,36.1
TAS77,Port Davies,-40.00372,147.8771,Australia,Cape Howe,1/29/2008,7000572,9,82,7.8,35.3
TAS77,Port Davies,-40.00372,147.8771,Australia,Cape Howe,1/29/2008,7000573,11,84,7.8,35.4
TAS71,GW Wolfe,-40.05788,147.75108,Australia,Cape Howe,1/30/2008,7000575,11,84,8,34.4
TAS71,GW Wolfe,-40.05788,147.75108,Australia,Cape Howe,1/30/2008,7000576,12,83,8.1,34.4
TAS78,PortDavies3,-40.00071,147.86898,Australia,Cape Howe,1/30/2008,7000577,14,74,8.1,35.9
TAS75,NE Prime Seal,-40.02269,147.77708,Australia,Cape Howe,1/31/2008,7000579,1,79,8,34
TAS76,Bird Island,-40.01106,147.86694,Australia,Cape Howe,1/31/2008,7000581,5,74,8.2,35.9
TAS76,Bird Island,-40.01106,147.86694,Australia,Cape Howe,1/31/2008,7000582,6,83,8,34.2
TAS72,Mike s Reef,-40.04006,147.8324,Australia,Cape Howe,2/1/2008,7000567,13,84,7.8,35.4
ENC8,Carrickalinga (toilet),-35.424449,138.319015,Australia,South Australian Gulfs,2/5/2008,5000352,4.9,75,7.8,34.1
ENC8,Carrickalinga (toilet),-35.424449,138.319015,Australia,South Australian Gulfs,2/5/2008,5000353,5,74,8.1,34.7
ENC8,Carrickalinga (toilet),-35.424449,138.319015,Australia,South Australian Gulfs,2/5/2008,5000354,6,73,8.2,36.7
ENC3,2nd Valley Boat Shed,-35.50945,138.21449,Australia,South Australian Gulfs,2/6/2008,5000355,3.5,84,8,34.5
ENC3,2nd Valley Boat Shed,-35.50945,138.21449,Australia,South Australian Gulfs,2/6/2008,5000356,4,73,7.9,36.3
ENC3,2nd Valley Boat Shed,-35.50945,138.21449,Australia,South Australian Gulfs,2/6/2008,5000357,6,74,8.1,34.5
ENC3,2nd Valley Boat Shed,-35.50945,138.21449,Australia,South Australian Gulfs,2/6/2008,5000358,6.1,74,7.9,34
ENC5,Rapid Head,-35.52049,138.16382,Australia,South Australian Gulfs,2/6/2008,5000359,4.8,83,7.9,36.7
ENC5,Rapid Head,-35.52049,138.16382,Australia,South Australian Gulfs,2/6/2008,5000360,4.9,80,8,36.6
ENC5,Rapid Head,-35.52049,138.16382,Australia,South Australian Gulfs,2/6/2008,5000361,5,82,8.1,35.8
ENC5,Rapid Head,-35.52049,138.16382,Australia,South Australian Gulfs,2/6/2008,5000362,5.1,73,8.2,34
ENC2,Rapid Bay Jetty,-35.51901,138.18452,Australia,South Australian Gulfs,2/7/2008,5000364,6,79,8.1,36
ENC2,Rapid Bay Jetty,-35.51901,138.18452,Australia,South Australian Gulfs,2/7/2008,5000365,8,73,8,35.3
ENC9,Aldinga Reef Inshore,-35.27028,138.43387,Australia,South Australian Gulfs,2/8/2008,5000368,2.5,81,8.1,36.1
ENC9,Aldinga Reef Inshore,-35.27028,138.43387,Australia,South Australian Gulfs,2/8/2008,5000369,4,77,8.1,35
JBMP44,Weedy Valley,-35.11208,150.76895,Australia,Cape Howe,2/11/2008,2001902,17,78,8.2,34.7
WA10,Little boat harbour  Bremer Bay,-34.46863,119.36276,Australia,Leeuwin,2/17/2008,6002315,6.5,78,8,35.1
WA11,Fisheries beach  Bremer Bay,-34.42522,119.39867,Australia,Leeuwin,2/17/2008,6002316,6,73,8.2,35.1
BMP14,Burrewarra Pt S,-35.83455,150.22347,Australia,Cape Howe,2/18/2008,2001234,13,74,8,34.1
JBMP43,Nursery steps,-35.11295,150.76569,Australia,Cape Howe,2/18/2008,2001568,4,80,8,37
JBMP43,Nursery steps,-35.11295,150.76569,Australia,Cape Howe,2/18/2008,2001569,5,79,7.9,36.1
JBMP43,Nursery steps,-35.11295,150.76569,Australia,Cape Howe,2/18/2008,2001570,9,84,8,36.4
JBMP43,Nursery steps,-35.11295,150.76569,Australia,Cape Howe,2/18/2008,2001571,9.8,74,7.9,36.3
JBMP34,Scottish Rocks,-35.13488,150.74251,Australia,Cape Howe,2/18/2008,2001838,3,76,8.2,34
JBMP34,Scottish Rocks,-35.13488,150.74251,Australia,Cape Howe,2/18/2008,2001841,5,84,8.1,36.4
JBMP19,Groper coast,-35.07594,150.77283,Australia,Cape Howe,2/19/2008,2001846,8,75,8.1,35.9
JBMP19,Groper coast,-35.07594,150.77283,Australia,Cape Howe,2/19/2008,2001847,8.1,80,8.2,36.8
JBMP19,Groper coast,-35.07594,150.77283,Australia,Cape Howe,2/19/2008,2001848,9.3,75,7.8,34.2
JBMP19,Groper coast,-35.07594,150.77283,Australia,Cape Howe,2/19/2008,2001849,13,76,8,34.2
JBMP14,Darts Point Cove,-35.07961,150.77558,Australia,Cape Howe,2/19/2008,2001851,7,80,7.8,34.5
JBMP14,Darts Point Cove,-35.07961,150.77558,Australia,Cape Howe,2/19/2008,2001852,9,75,8.2,35.4
JBMP14,Darts Point Cove,-35.07961,150.77558,Australia,Cape Howe,2/19/2008,2001853,14,82,8.1,36.9
WA12,Lucky Bay  Cape Le-grand national park,-33.99302,122.2221,Australia,Leeuwin,2/20/2008,6002317,8,79,7.8,36.8
WA13,Tanker Jetty  Esperance,-33.85261,121.90215,Australia,Leeuwin,2/21/2008,6002318,6,74,8.2,36.2
JBMP25,Dent Rock,-35.071723,150.690066,Australia,Cape Howe,2/25/2008,2001903,6.5,78,7.9,36.8
DE21,Alum Cliffs,-42.963339,147.34134,Australia,Bassian,3/10/2008,7000595,3.5,83,8.2,34
JBMP20,Plantation Point 2,-35.07156,150.7013,Australia,Cape Howe,3/12/2008,2001566,3,83,8,35.4
BMP21,Montague Is W (S of the Pinnacle),-36.24683,150.22319,Australia,Cape Howe,3/13/2008,2001307,17,82,7.8,34.2
PPB15,Ricketts Pt,-37.99492,145.02939,Australia,Bassian,3/15/2008,3000040,2,76,7.8,35.9
DE52,Blackmans bay blow hole,-42.99929,147.32887,Australia,Bassian,3/18/2008,7000517,4.5,73,8,36.9
WA46,Bitey Holes  Pelsart Group,-28.89196,114.00962,Australia,Houtman,3/21/2008,6002244,6.2,73,8.1,35.1
WA46,Bitey Holes  Pelsart Group,-28.89196,114.00962,Australia,Houtman,3/21/2008,6002245,9,84,7.9,36.4
WA47,Coral patches  Pelsart Group,-28.85354,114.01087,Australia,Houtman,3/21/2008,6002255,8,84,8.2,36.7
WA47,Coral patches  Pelsart Group,-28.85354,114.01087,Australia,Houtman,3/21/2008,6002256,10,84,8.1,34
WA51,Dougie s Break  Easter Group,-28.67508,113.7572,Australia,Houtman,3/22/2008,6002257,3.5,82,8,35.2
WA51,Dougie s Break  Easter Group,-28.67508,113.7572,Australia,Houtman,3/22/2008,6002258,3.6,80,8,36.4
WA52,Anemone lumps  Easter Group,-28.67135,113.84345,Australia,Houtman,3/22/2008,6002269,5,75,8,35.6
WA52,Anemone lumps  Easter Group,-28.67135,113.84345,Australia,Houtman,3/22/2008,6002270,6.1,73,7.9,35.7
WA54,Long Is East,-28.47336,113.77563,Australia,Houtman,3/23/2008,6002081,6,75,8.2,34.9
WA54,Long Is East,-28.47336,113.77563,Australia,Houtman,3/23/2008,6002082,8,82,7.8,35.3
WA55,Long I Dive trail bommie,-28.46051,113.77258,Australia,Houtman,3/23/2008,6002083,5.2,78,8.1,35.1
WA54,Long Is East,-28.47336,113.77563,Australia,Houtman,3/23/2008,6002282,6.3,73,7.9,36.7
WA55,Long I Dive trail bommie,-28.46051,113.77258,Australia,Houtman,3/23/2008,6002289,5,77,8,36.9
WA55,Long I Dive trail bommie,-28.46051,113.77258,Australia,Houtman,3/23/2008,6002290,5.1,83,8,35.7
WA53,Long Island west lagoon,-28.47634,113.77235,Australia,Houtman,3/24/2008,6002084,4,82,8.2,35.4
WA53,Long Island west lagoon,-28.47634,113.77235,Australia,Houtman,3/24/2008,6002085,8.5,78,7.8,36.9
WA53,Long Island west lagoon,-28.47634,113.77235,Australia,Houtman,3/24/2008,6002291,6,78,8.2,34.1
WA49,Big Rat West,-28.71898,113.77761,Australia,Houtman,3/24/2008,6002292,3.5,77,8.1,35
WA49,Big Rat West,-28.71898,113.77761,Australia,Houtman,3/24/2008,6002293,4.5,75,8,36
WA49,Big Rat West,-28.71898,113.77761,Australia,Houtman,3/24/2008,6002294,5,78,8.1,34.3
WA48,Plate Ledge  Pelsart Group,-28.85305,114.0132,Australia,Houtman,3/25/2008,6002246,3,73,8.1,35.8
WA48,Plate Ledge  Pelsart Group,-28.85305,114.0132,Australia,Houtman,3/25/2008,6002247,5,77,8.2,35.5
WA48,Plate Ledge  Pelsart Group,-28.85305,114.0132,Australia,Houtman,3/25/2008,6002248,9,73,8.1,35.4
WA50,The Wall  Easter Group,-28.70359,113.82932,Australia,Houtman,3/25/2008,6002295,8.5,74,8,35.9
WA50,The Wall  Easter Group,-28.70359,113.82932,Australia,Houtman,3/25/2008,6002296,21,77,7.8,35.1
BMP-S10,Shark Gutter NE Tollgates,-35.75012,150.26204,Australia,Cape Howe,3/26/2008,2001380,6.5,79,7.8,36.7
WA40,North Beach Fishing Platform  Perth,-31.85681,115.75145,Australia,Houtman,3/26/2008,6002323,2.9,76,8.1,34.4
WA37,Mudurup Rocks  Perth,-31.99853,115.75094,Australia,Leeuwin,3/29/2008,6002325,2.4,74,7.8,34.6
NMP21,Coral Bay (Sanctuary zone),-23.14221,113.76709,Australia,Ningaloo,3/30/2008,6002242,3,77,7.8,36.6
BMP5,Dalmeny point N of ramp,-36.16112,150.13343,Australia,Cape Howe,4/1/2008,2000950,10,82,8.1,36.4
BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,Australia,Cape Howe,4/1/2008,2000951,9,84,7.9,35.8
NMP22,Turquoise Bay (Sanctuary zone),-22.09786,113.88472,Australia,Ningaloo,4/1/2008,6002243,3,74,8.2,36.8
BMP20,Honeysuckle Bay S,-35.71574,150.28025,Australia,Cape Howe,4/7/2008,2000977,11,75,8.2,36.1
BMP19,West Tollgate Is,-35.74858,150.25542,Australia,Cape Howe,4/7/2008,2000982,7.5,76,7.9,34.6
BMP6,Potato Point shark gutter,-36.09594,150.14753,Australia,Cape Howe,4/11/2008,2000999,17,76,8.1,34.5
TAS47,White beach,-43.111,147.73051,Australia,Bassian,4/19/2008,7000518,3,81,7.9,36
TAS37,Saftety cove nth,-43.157923,147.85412,Australia,Bassian,4/19/2008,7000594,4,78,8.1,36.7
DE12,Tinderbox,-43.05816,147.33108,Australia,Bassian,4/19/2008,7000616,2,73,8.2,34.4
WA8,Peaceful Bay,-35.04169,116.9317,Australia,Leeuwin,4/26/2008,6002153,3.5,83,8,34.4
NZ2,NZ Poor Knights South Harbour,-35.48828,174.73844,New Zealand,Northeastern New Zealand,4/28/2008,64003155,12,83,7.8,34
TAS66,Waubs Bay,-41.86969,148.30285,Australia,Bassian,5/3/2008,7000609,7,77,8.1,35.6
TAS66,Waubs Bay,-41.86969,148.30285,Australia,Bassian,5/3/2008,7000610,7.1,74,8.1,34.9
TAS66,Waubs Bay,-41.86969,148.30285,Australia,Bassian,5/3/2008,7000611,8,77,8.1,34.8
TAS66,Waubs Bay,-41.86969,148.30285,Australia,Bassian,5/3/2008,7000612,8.1,76,7.9,35
TAS65,Governor I SW,-41.87497,148.31148,Australia,Bassian,5/4/2008,7000613,3,80,7.8,34
TAS65,Governor I SW,-41.87497,148.31148,Australia,Bassian,5/4/2008,7000614,6,83,7.8,36.6
TAS65,Governor I SW,-41.87497,148.31148,Australia,Bassian,5/4/2008,7000615,11,73,7.8,37
BMP-S33,Bogola North,-36.26173,150.15152,Australia,Cape Howe,5/6/2008,2001081,8,78,7.9,34.4
JBMP38,South Bowen,-35.12327,150.76978,Australia,Cape Howe,5/6/2008,2001240,13,76,8.1,35.6
JBMP24,Drum Inlet,-35.04875,150.837383,Australia,Cape Howe,5/8/2008,2001590,12,75,8.1,34.4
JBMP26,Drum & Drum Sticks,-35.045916,150.83943,Australia,Cape Howe,5/10/2008,2001324,11,75,7.9,34.9
BR5,Mid Pinnacle,-37.8223,148.7885,Australia,Cape Howe,5/14/2008,3000039,12,82,8,35.7
BMP17,Jimmies Is S,-35.81929,150.23638,Australia,Cape Howe,5/16/2008,2001086,19.5,77,7.9,37
BMP15,Guerilla Bay Bommie,-35.82902,150.23084,Australia,Cape Howe,5/16/2008,2001087,10,82,8.2,35.6
JBMP10,Blenheim Beach,-35.08513,150.69402,Australia,Cape Howe,5/19/2008,2001586,3.5,75,7.9,35.9
SYD52,Shelley Beach North,-33.799269,151.296159,Australia,Manning-Hawkesbury,5/25/2008,2001565,3,84,8,36.9
BMP23,Black Rock North,-35.77392,150.24856,Australia,Cape Howe,5/25/2008,2001591,11,77,8.2,34.2
WA36,The Coombe,-32.01264,115.77599,Australia,Leeuwin,5/31/2008,6002332,3,81,8,36.6
WA27,Rockingham Wreck Trail,-32.273061,115.718028,Australia,Leeuwin,6/2/2008,6002333,12,84,7.8,34.2
DE50,Taroona reserve,-42.95324,147.35538,Australia,Bassian,6/2/2008,7000513,2,81,8.1,34.1
DE50,Taroona reserve,-42.95324,147.35538,Australia,Bassian,6/2/2008,7000514,4.2,76,7.9,35.9
SI6,Manta Mooring NW Solitary Is,-30.01765,153.2692,Australia,Tweed-Moreton,6/5/2008,2001264,5.5,79,7.8,36.6
SI6,Manta Mooring NW Solitary Is,-30.01765,153.2692,Australia,Tweed-Moreton,6/5/2008,2001265,7,83,8.1,34.4
SI6,Manta Mooring NW Solitary Is,-30.01765,153.2692,Australia,Tweed-Moreton,6/5/2008,2001266,7.1,74,7.9,34.3
SI6,Manta Mooring NW Solitary Is,-30.01765,153.2692,Australia,Tweed-Moreton,6/5/2008,2001267,8,77,8.1,37
SI6,Manta Mooring NW Solitary Is,-30.01765,153.2692,Australia,Tweed-Moreton,6/5/2008,2001268,9,80,8.1,36.6
SI24,Mattys Mooring NW Solitary Is,-30.01876,153.26976,Australia,Tweed-Moreton,6/5/2008,2001445,8,74,8,34.8
SI24,Mattys Mooring NW Solitary Is,-30.01876,153.26976,Australia,Tweed-Moreton,6/5/2008,2001446,9,84,7.8,36.8
SI24,Mattys Mooring NW Solitary Is,-30.01876,153.26976,Australia,Tweed-Moreton,6/5/2008,2001447,11,73,7.9,34.6
SI24,Mattys Mooring NW Solitary Is,-30.01876,153.26976,Australia,Tweed-Moreton,6/5/2008,2001448,12,78,8,35.5
SI24,Mattys Mooring NW Solitary Is,-30.01876,153.26976,Australia,Tweed-Moreton,6/5/2008,2001449,12.5,81,8,34.7
SI1,Elbow Cave Mooring N Solitary Is,-29.93044,153.38984,Australia,Tweed-Moreton,6/6/2008,2001049,6,79,7.8,36
SI1,Elbow Cave Mooring N Solitary Is,-29.93044,153.38984,Australia,Tweed-Moreton,6/6/2008,2001050,6.1,80,7.9,34.2
