event_uuid,locationID,locality,decimalLatitude,decimalLongitude,country,higherGeography,eventDate,fieldNumber,minimumDepthInMeters,WATER.TEMPERATURE.F,WATER.TEMPERATURE.F_detBy,WATER.TEMPERATURE.F_unit,WATER.TEMPERATURE.F_accuracy,WATER.TEMPERATURE.F_method,pH,pH_detBy,pH_unit,pH_accuracy,pH_detDate,pH_method,pH_remarks,SALINITY.parts.per.1000,SALINITY.parts.per.1000_detBy,SALINITY.parts.per.1000_unit,SALINITY.parts.per.1000_accuracy,SALINITY.parts.per.1000_detDate,SALINITY.parts.per.1000_method,SALINITY.parts.per.1000_remarks
8ce77982-7a68-11e6-bb23-23fbc77e3390,NMP-P2,Pelican Nth,-23.31925,113.7807,Australia,Ningaloo,7/29/2012,912340590,2,81,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.6,QQ,ppt,0.1,NA,NA,NA
8ccfce0c-7a68-11e6-bb23-23fbc77e3390,PPB51,Long Reef,-38.02771,144.58116,Australia,Bassian,4/2/2010,3000077,1,77,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.2,QQ,ppt,0.1,NA,NA,NA
8cc1e97a-7a68-11e6-bb23-23fbc77e3390,ETP216,Punta Mala,-1.52181,-80.81674167,Ecuador,Guayaquil,9/16/2008,593003521,8,77,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,34.3,QQ,ppt,0.1,NA,NA,NA
8cda5749-7a68-11e6-bb23-23fbc77e3390,ETP66,Secas O,7.97507,-82.0184,Panama,Nicoya,5/25/2011,507003190,11,84,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,34.8,QQ,ppt,0.1,NA,NA,NA
8cbe3f28-7a68-11e6-bb23-23fbc77e3390,ETP239,Secas SE,7.9521,-82.03661667,Panama,Nicoya,3/23/2007,507003556,5,75,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.8,QQ,ppt,0.1,NA,NA,NA
8cd1ca44-7a68-11e6-bb23-23fbc77e3390,QLD44,Bird Islets,-14.68942,145.46617,Australia,Torres Strait Northern Great Barrier Reef,6/26/2010,4000750,2.5,74,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,34.3,QQ,ppt,0.1,NA,NA,NA
8cddb3b8-7a68-11e6-bb23-23fbc77e3390,PNG6,North Ema,-5.155914,150.159759,Papua New Guinea,Bismarck Sea,10/27/2011,912342384,5,74,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,34.7,QQ,ppt,0.1,NA,NA,NA
8cd68601-7a68-11e6-bb23-23fbc77e3390,CHMP-S7,Prince Wreck,-37.52067,149.9643,Australia,Cape Howe,2/4/2011,3002558,6.2,73,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.4,QQ,ppt,0.1,NA,NA,NA
8ccbd658-7a68-11e6-bb23-23fbc77e3390,PPB5,Cottage by the Sea,-38.27462,144.64918,Australia,Bassian,12/5/2009,3000208,5,81,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.5,QQ,ppt,0.1,NA,NA,NA
8cedbc2b-7a68-11e6-bb23-23fbc77e3390,NI7,Shark Point Phillip Island,-29.11731,167.94171,Australia,Lord Howe and Norfolk Islands,1/10/2013,912342396,12,79,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36,QQ,ppt,0.1,NA,NA,NA
8cd0b8a2-7a68-11e6-bb23-23fbc77e3390,NMP23,Kate s Corner,-21.97653,113.91861,Australia,Ningaloo,5/28/2010,6002004,2.1,83,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,34.2,QQ,ppt,0.1,NA,NA,NA
8ce38131-7a68-11e6-bb23-23fbc77e3390,QLD64,Inner Dip,-18.40566,147.44558,Australia,Central and Southern Great Barrier Reef,4/7/2012,912340023,7,81,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,34.2,QQ,ppt,0.1,NA,NA,NA
8cc2d359-7a68-11e6-bb23-23fbc77e3390,TAS18,Satellite Island,-43.26783,147.24213,Australia,Bassian,12/8/2008,7000541,3,73,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.6,QQ,ppt,0.1,NA,NA,NA
8ce75264-7a68-11e6-bb23-23fbc77e3390,PAC7,Iles de Maria N,-21.79135,-154.70135,French Polynesia,Southern Cook/Austral Islands,7/27/2012,912341102,10.5,74,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8ce667e1-7a68-11e6-bb23-23fbc77e3390,FP43,Tahanea Passe Manino Outside,-16.84849,-144.68697,French Polynesia,Tuamotus,6/12/2012,912342136,6,73,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.1,QQ,ppt,0.1,NA,NA,NA
8cc63005-7a68-11e6-bb23-23fbc77e3390,ACEH22,Ujung Tunku Nth,5.88289,95.25118,Indonesia,Western Sumatra,3/1/2009,62003733,4,78,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.6,QQ,ppt,0.1,NA,NA,NA
8ce22158-7a68-11e6-bb23-23fbc77e3390,BRA3,Lighthouse Santa Barbara,-17.96548,-38.69404,Brazil,Eastern Brazil,2/28/2012,912341796,4,76,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cd52638-7a68-11e6-bb23-23fbc77e3390,USEC10,Coffins Patch E FL,24.68577,-80.96287,United States,Floridian,10/17/2010,1003283,6,73,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,34.6,QQ,ppt,0.1,NA,NA,NA
8ced46e3-7a68-11e6-bb23-23fbc77e3390,KER1,L'Esperance Rock N,-31.35397,-178.82567,New Zealand,Kermadec Island,12/29/2012,912342400,11,75,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cbfed23-7a68-11e6-bb23-23fbc77e3390,WA47,Coral patches  Pelsart Group,-28.85354,114.01087,Australia,Houtman,3/21/2008,6002255,8,84,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.7,QQ,ppt,0.1,NA,NA,NA
8ce184fc-7a68-11e6-bb23-23fbc77e3390,LHI12,Little Slope,-31.58355,159.06596,Australia,Lord Howe and Norfolk Islands,2/25/2012,912340505,8,73,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,37,QQ,ppt,0.1,NA,NA,NA
8cc4332e-7a68-11e6-bb23-23fbc77e3390,WA2,Breaksea Cove,-35.06477,118.04328,Australia,Leeuwin,1/25/2009,6002098,11,79,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,34.1,QQ,ppt,0.1,NA,NA,NA
8cdc7a8b-7a68-11e6-bb23-23fbc77e3390,RED7,St Johns Caves,23.63558,35.82552,Egypt,Northern and Central Red Sea,8/2/2011,20003011,5,80,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34,QQ,ppt,0.1,NA,NA,NA
8cd993d0-7a68-11e6-bb23-23fbc77e3390,ETP40,Punta Corsalito,9.84155,-85.37397,Costa Rica,Nicoya,5/8/2011,506003832,8,79,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35,QQ,ppt,0.1,NA,NA,NA
8cefb861-7a68-11e6-bb23-23fbc77e3390,PD-S20,Outer Saddle Bight,-43.31813812,145.8736572,Australia,Bassian,2/25/2013,912342687,10.2,73,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.9,QQ,ppt,0.1,NA,NA,NA
8cc8a0c9-7a68-11e6-bb23-23fbc77e3390,CAM4,House Reef,10.62083,103.29556,Cambodia,Gulf of Thailand,5/17/2009,855003141,2,75,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.3,QQ,ppt,0.1,NA,NA,NA
8cd74982-7a68-11e6-bb23-23fbc77e3390,CAR15,Outer Channel Marker   Providencia,13.3987,-81.39579,Colombia,Southwestern Caribbean,3/20/2011,1003669,8.2,75,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,36,QQ,ppt,0.1,NA,NA,NA
8cc98c04-7a68-11e6-bb23-23fbc77e3390,SYD17,Henrys Head,-33.99564,151.23761,Australia,Manning-Hawkesbury,7/31/2009,2001012,9,76,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cc608e8-7a68-11e6-bb23-23fbc77e3390,ACEH18,Beurawang,5.77726,95.33671,Indonesia,Western Sumatra,2/28/2009,62003104,6.1,81,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.9,QQ,ppt,0.1,NA,NA,NA
8cbfc60b-7a68-11e6-bb23-23fbc77e3390,WA13,Tanker Jetty  Esperance,-33.85261,121.90215,Australia,Leeuwin,2/21/2008,6002318,6,74,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.2,QQ,ppt,0.1,NA,NA,NA
8cd2dbe0-7a68-11e6-bb23-23fbc77e3390,QLD40,Thabugan Reef,-16.378,139.59747,Australia,Arnhem Coast to Gulf of Carpenteria,7/4/2010,4000827,5.2,75,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.2,QQ,ppt,0.1,NA,NA,NA
8cf054eb-7a68-11e6-bb23-23fbc77e3390,NIN-S2,Huon Island,-43.29383,147.14182,Australia,Bassian,3/7/2013,912342722,5.3,84,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cdf88c7-7a68-11e6-bb23-23fbc77e3390,MIR-S15,Return Point,-42.62899,148.024307,Australia,Bassian,1/15/2012,912340045,5.2,84,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,36.9,QQ,ppt,0.1,NA,NA,NA
8cbfc609-7a68-11e6-bb23-23fbc77e3390,JBMP14,Darts Point Cove,-35.07961,150.77558,Australia,Cape Howe,2/19/2008,2001853,14,82,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.9,QQ,ppt,0.1,NA,NA,NA
8cec3540-7a68-11e6-bb23-23fbc77e3390,PAC140,Crater Bay North Point,-37.28242,176.27655,New Zealand,Northeastern New Zealand,11/16/2012,912342855,6.2,79,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.3,QQ,ppt,0.1,NA,NA,NA
8ce8d940-7a68-11e6-bb23-23fbc77e3390,PAC38,Rose Atoll entrance bommie,-14.53794,-168.15357,American Samoa,Samoa Islands,8/22/2012,912341166,10,84,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.1,QQ,ppt,0.1,NA,NA,NA
8ce5cb82-7a68-11e6-bb23-23fbc77e3390,RI3,Eagle Bay,-32.01805,115.4523,Australia,Leeuwin,5/27/2012,10000012,5,82,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.8,QQ,ppt,0.1,NA,NA,NA
8cdbb719-7a68-11e6-bb23-23fbc77e3390,MED5,Scarrupata West,40.700083,13.929917,Italy,Western Mediterranean,7/6/2011,39003131,6.2,73,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,35.4,QQ,ppt,0.1,NA,NA,NA
8cdaa56e-7a68-11e6-bb23-23fbc77e3390,ETP76,Almohada N,7.81937,-81.77153,Panama,Nicoya,5/28/2011,507003865,6,78,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.5,QQ,ppt,0.1,NA,NA,NA
8ceaae64-7a68-11e6-bb23-23fbc77e3390,PAC92,Three Kings I south bay,-34.16305,172.1443,New Zealand,Three Kings-North Cape,10/12/2012,912342769,12,83,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36,QQ,ppt,0.1,NA,NA,NA
8ccd83ba-7a68-11e6-bb23-23fbc77e3390,DE38,Blackmans Bay Blowhole,-42.99837,147.32967,Australia,Bassian,2/11/2010,7000488,5.3,79,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.8,QQ,ppt,0.1,NA,NA,NA
8cee588a-7a68-11e6-bb23-23fbc77e3390,EMR18,North Cay Elizabeth Reef,-29.92554,159.0511,Australia,Lord Howe and Norfolk Islands,1/17/2013,912342479,5,84,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8ccbfd82-7a68-11e6-bb23-23fbc77e3390,DE16,LindersfarneYachtClub,-42.85313,147.3509,Australia,Bassian,12/9/2009,7000420,3,83,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.3,QQ,ppt,0.1,NA,NA,NA
8ce1d32a-7a68-11e6-bb23-23fbc77e3390,LHI25,Phillip Rock South,-31.51721,159.0343,Australia,Lord Howe and Norfolk Islands,2/27/2012,912340523,10,78,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.8,QQ,ppt,0.1,NA,NA,NA
8ceef51b-7a68-11e6-bb23-23fbc77e3390,PD-S17,Inner Saddle South West Point,-43.31243134,145.8966064,Australia,Bassian,2/17/2013,912342621,10.3,76,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.8,QQ,ppt,0.1,NA,NA,NA
8cc51dbc-7a68-11e6-bb23-23fbc77e3390,ACEH1,Rubiah Jetty Nth,5.88147,95.25631,Indonesia,Western Sumatra,2/22/2009,62003713,5,75,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.7,QQ,ppt,0.1,NA,NA,NA
8cc3218f-7a68-11e6-bb23-23fbc77e3390,TAS44,Sheppards Fish Farm 400m Nth,-43.08437,147.30047,Australia,Bassian,12/10/2008,7000549,5,81,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.1,QQ,ppt,0.1,NA,NA,NA
8cc7b6ee-7a68-11e6-bb23-23fbc77e3390,WA20,Skippy Rock,-33.54941,115.06985,Australia,Leeuwin,4/13/2009,6002050,13.5,73,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.2,QQ,ppt,0.1,NA,NA,NA
8cd96cb7-7a68-11e6-bb23-23fbc77e3390,ETP35,Punta Muneco,9.85037,-85.46999,Costa Rica,Nicoya,5/7/2011,506002984,7,83,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8ccf58d0-7a68-11e6-bb23-23fbc77e3390,JBMP-S2,The Docks 1 The Gulch,-35.08142,150.79732,Australia,Cape Howe,3/28/2010,2001513,10.1,74,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.7,QQ,ppt,0.1,NA,NA,NA
8cd37834-7a68-11e6-bb23-23fbc77e3390,QLD33,Normandy Island,-17.20315,146.07662,Australia,Central and Southern Great Barrier Reef,7/13/2010,4000710,4,79,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36,QQ,ppt,0.1,NA,NA,NA
8cdca219-7a68-11e6-bb23-23fbc77e3390,MED26,Isla del Sech,39.47842,2.5403,Spain,Western Mediterranean,8/19/2011,34003931,5,76,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.6,QQ,ppt,0.1,NA,NA,NA
8ceb4ab8-7a68-11e6-bb23-23fbc77e3390,CS14,Chilcott South,-16.93573,149.99411,Australia,Coral Sea,10/26/2012,912342282,6,83,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.1,QQ,ppt,0.1,NA,NA,NA
8ce9eaf6-7a68-11e6-bb23-23fbc77e3390,IT2,La Vela,43.54818333,13.62840833,Italy,Adriatic Sea,9/23/2012,912342200,5,82,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.5,QQ,ppt,0.1,NA,NA,NA
8cc6cc67-7a68-11e6-bb23-23fbc77e3390,KI6,Stokes East,-35.61596,137.2106,Australia,South Australian Gulfs,3/23/2009,5000284,8,82,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.2,QQ,ppt,0.1,NA,NA,NA
8cd91e90-7a68-11e6-bb23-23fbc77e3390,ETP24,Bah?a Wafer,5.54595,-87.06231,Costa Rica,Cocos Islands,4/26/2011,506002972,11.5,84,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.8,QQ,ppt,0.1,NA,NA,NA
8cdc5371-7a68-11e6-bb23-23fbc77e3390,MED22,Cap de Peyrefite,42.456838,3.167728,France,Western Mediterranean,7/22/2011,33003929,6.8,77,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,35.7,QQ,ppt,0.1,NA,NA,NA
8cd4b0f4-7a68-11e6-bb23-23fbc77e3390,CI2,Phosphate Wharf,-10.42658,105.67081,Australia,Cocos-Keeling/Christmas Island,9/17/2010,6003294,7,73,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.1,QQ,ppt,0.1,NA,NA,NA
8ceea6bd-7a68-11e6-bb23-23fbc77e3390,EMR31,NE Inlet Elizabeth Reef,-29.93369,159.09714,Australia,Lord Howe and Norfolk Islands,1/18/2013,912342492,13,82,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8ce70442-7a68-11e6-bb23-23fbc77e3390,NMP-C1,Monck Head,-23.17701,113.75987,Australia,Ningaloo,7/26/2012,912340568,2,77,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8cc71a90-7a68-11e6-bb23-23fbc77e3390,KI11,Snug_Cove_East,-35.69308,136.85916,Australia,South Australian Gulfs,3/28/2009,5000252,7,76,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,34.1,QQ,ppt,0.1,NA,NA,NA
8cebbffd-7a68-11e6-bb23-23fbc77e3390,PAC127,Alphabet Bay,-36.26722,174.79429,New Zealand,Northeastern New Zealand,11/10/2012,912342830,4,75,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,36.9,QQ,ppt,0.1,NA,NA,NA
8cd3512d-7a68-11e6-bb23-23fbc77e3390,QLD30,Russell Island,-17.2294,146.09131,Australia,Central and Southern Great Barrier Reef,7/13/2010,4000708,7,75,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36,QQ,ppt,0.1,NA,NA,NA
8cd77089-7a68-11e6-bb23-23fbc77e3390,CAR17,Montanita,12.58681,-81.71718,Colombia,Southwestern Caribbean,3/21/2011,1003671,10.5,78,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,36.2,QQ,ppt,0.1,NA,NA,NA
8cebc001-7a68-11e6-bb23-23fbc77e3390,PAC128,Mathesen Island,-36.30569,174.80013,New Zealand,Northeastern New Zealand,11/11/2012,912342834,6,80,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.8,QQ,ppt,0.1,NA,NA,NA
8ce0c182-7a68-11e6-bb23-23fbc77e3390,LHI10,Noddy Island,-31.50197,159.06513,Australia,Lord Howe and Norfolk Islands,2/20/2012,912340450,12.3,84,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.7,QQ,ppt,0.1,NA,NA,NA
8ce0e89d-7a68-11e6-bb23-23fbc77e3390,ETP180,La Nevera Sur,3.9997666,-81.614356,Colombia,Panama Bight,2/20/2012,912342178,7,74,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8cec837d-7a68-11e6-bb23-23fbc77e3390,PAC153,Anchor Bay East Rocks,-36.97862,176.08118,New Zealand,Northeastern New Zealand,11/23/2012,912342883,10,79,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,36.8,QQ,ppt,0.1,NA,NA,NA
8ccc4b04-7a68-11e6-bb23-23fbc77e3390,SYD28,Neilsen Park East,-33.849696,151.267342,Australia,Manning-Hawkesbury,12/13/2009,2000986,4.8,75,Not Jason Mai,degreeF,0.1,NA,8.1,not me,no unit,0.1,NA,NA,NA,35.3,QQ,ppt,0.1,NA,NA,NA
8cd0918c-7a68-11e6-bb23-23fbc77e3390,NMP-B4,Nth Bundegi,-21.8559,114.16763,Australia,Exmouth to Broome,5/26/2010,6002109,2,75,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,35.6,QQ,ppt,0.1,NA,NA,NA
8cd4b0f6-7a68-11e6-bb23-23fbc77e3390,USWC16,Monterey Wharf  CA,36.609409,-121.892368,United States,Northern California,9/18/2010,1003271,4.5,84,Not Jason Mai,degreeF,0.1,NA,7.8,not me,no unit,0.1,NA,NA,NA,36.4,QQ,ppt,0.1,NA,NA,NA
8cc28532-7a68-11e6-bb23-23fbc77e3390,TAS6,Port Esperance Fish Farm1,-43.34664,147.04534,Australia,Bassian,12/2/2008,7000530,2,81,Not Jason Mai,degreeF,0.1,NA,7.9,not me,no unit,0.1,NA,NA,NA,35.5,QQ,ppt,0.1,NA,NA,NA
8cd8d065-7a68-11e6-bb23-23fbc77e3390,JBMP-S6,Honeymoon Bay 300m South,-35.05941773,150.7749939,Australia,Cape Howe,4/17/2011,2002736,5.3,78,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,36.4,QQ,ppt,0.1,NA,NA,NA
8cecaa8c-7a68-11e6-bb23-23fbc77e3390,PAC156,Ugly Point,-36.95059,176.0787,New Zealand,Northeastern New Zealand,11/24/2012,912342893,12,75,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.6,QQ,ppt,0.1,NA,NA,NA
8cbf50ca-7a68-11e6-bb23-23fbc77e3390,TAS71,GW Wolfe,-40.05788,147.75108,Australia,Cape Howe,1/30/2008,7000575,11,84,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.4,QQ,ppt,0.1,NA,NA,NA
8cd17c10-7a68-11e6-bb23-23fbc77e3390,WA83,Bardi Hole  Cape Leveque,-16.43598,123.05123,Australia,Bonaparte Coast,6/11/2010,6002159,4.5,80,Not Jason Mai,degreeF,0.1,NA,8,not me,no unit,0.1,NA,NA,NA,34.7,QQ,ppt,0.1,NA,NA,NA
8ce09a65-7a68-11e6-bb23-23fbc77e3390,RSA5,Batsata Maze,-34.27528333,18.48361667,South Africa,Agulhas Bank,2/15/2012,912341781,18,77,Not Jason Mai,degreeF,0.1,NA,8.2,not me,no unit,0.1,NA,NA,NA,34.2,QQ,ppt,0.1,NA,NA,NA
